token_length,over_512,excess_tokens
121,False,0
440,False,0
1799,True,1287
537,True,25
257,False,0
653,True,141
387,False,0
174,False,0
77,False,0
120,False,0
149,False,0
26,False,0
223,False,0
402,False,0
859,True,347
484,False,0
388,False,0
295,False,0
553,True,41
89,False,0
106,False,0
554,True,42
115,False,0
421,False,0
469,False,0
602,True,90
963,True,451
608,True,96
759,True,247
571,True,59
625,True,113
827,True,315
86,False,0
110,False,0
74,False,0
350,False,0
485,False,0
793,True,281
768,True,256
308,False,0
163,False,0
439,False,0
1096,True,584
140,False,0
435,False,0
1267,True,755
508,False,0
521,True,9
180,False,0
441,False,0
255,False,0
999,True,487
496,False,0
363,False,0
101,False,0
398,False,0
715,True,203
557,True,45
495,False,0
517,True,5
106,False,0
17,False,0
468,False,0
590,True,78
1522,True,1010
703,True,191
123,False,0
59,False,0
848,True,336
523,True,11
390,False,0
975,True,463
523,True,11
591,True,79
428,False,0
716,True,204
538,True,26
501,False,0
527,True,15
1077,True,565
576,True,64
246,False,0
524,True,12
507,False,0
175,False,0
365,False,0
264,False,0
649,True,137
784,True,272
601,True,89
326,False,0
519,True,7
140,False,0
498,False,0
525,True,13
266,False,0
360,False,0
517,True,5
665,True,153
440,False,0
513,True,1
301,False,0
1408,True,896
400,False,0
363,False,0
261,False,0
419,False,0
970,True,458
678,True,166
1310,True,798
1081,True,569
278,False,0
240,False,0
911,True,399
568,True,56
255,False,0
1025,True,513
99,False,0
1029,True,517
225,False,0
346,False,0
439,False,0
515,True,3
1259,True,747
276,False,0
752,True,240
359,False,0
649,True,137
113,False,0
62,False,0
75,False,0
488,False,0
265,False,0
3444,True,2932
68,False,0
2316,True,1804
120,False,0
501,False,0
447,False,0
127,False,0
592,True,80
778,True,266
261,False,0
16,False,0
220,False,0
201,False,0
440,False,0
828,True,316
616,True,104
560,True,48
310,False,0
513,True,1
328,False,0
457,False,0
615,True,103
618,True,106
92,False,0
294,False,0
838,True,326
1173,True,661
153,False,0
384,False,0
161,False,0
245,False,0
333,False,0
549,True,37
777,True,265
78,False,0
625,True,113
453,False,0
789,True,277
614,True,102
324,False,0
468,False,0
162,False,0
264,False,0
551,True,39
894,True,382
581,True,69
